Part,Value,Supplier, Part No.                           
,,,
10DOF_IMU,  M10LOCK_LONGPADS             ,,
C1,         6.8uF                                                 ,,
C2 ,       47uF                                             ,,
C3  ,       .047uF                                              ,,
C4   ,      100pF                                            ,,
D1    ,     1N4148                          ,,
FUSE   ,    PTCSMD                                ,,
IC1     ,   LM340MP-05                                        ,,
JP1      ,  M12LONGPADS                  ,,
JP2       , M12LONGPADS                     ,,
JP3        ,FTDI_DEVICE                   ,,
JP6         ,                                                   ,,
LCD_SERIAL,                             ,,
LED1       ,                                       ,,
LED2        ,                                       ,,
LED3         ,                               ,,
MICRO      ,ARDUINO_PRO_MICRO      ,,
R1         ,10,,
R6         ,220,,
R7         ,220,,
R8         ,220,,
RESET      ,SWITCH-MOMENTARY-2SMD ,,
RX-TX      ,                                   ,,
S1         ,SWITCH-MOMENTARY-2SMD  ,,
S2         ,SWITCH-MOMENTARY-2SMD ,,
S3         ,SWITCH-MOMENTARY-2SMD,,
S4         ,SWITCH-MOMENTARY-2SMD  ,,
SENSTA     ,0R-JUMPB                                               ,,
U$1        ,TH3122                                                   ,,
